season,team,games,observed_games,out_designations,out_per_observed_game,musculoskeletal_out_per_game,out_excluding_noninjury_per_game,reserve_per_game,win_share,coverage,rank_out
2023,CHI,17,17,38.0,2.235294117647059,1.411764705882353,1.8823529411764706,4.117647058823529,0.4117647058823529,1.0,7.0
2023,CIN,17,17,18.0,1.0588235294117647,1.0,1.0588235294117647,4.411764705882353,0.5294117647058824,1.0,29.0
2023,CLE,17,17,36.0,2.1176470588235294,1.7058823529411764,2.0588235294117645,11.058823529411764,0.6470588235294118,1.0,10.0
2023,DAL,17,17,10.0,0.5882352941176471,0.5882352941176471,0.5882352941176471,8.764705882352942,0.7058823529411765,1.0,32.0
2023,DEN,17,17,25.0,1.4705882352941178,1.1764705882352942,1.2941176470588236,9.294117647058824,0.47058823529411764,1.0,23.0
2023,DET,17,17,43.0,2.5294117647058822,2.3529411764705883,2.2941176470588234,9.705882352941176,0.7058823529411765,1.0,4.0
2023,GB,17,17,19.0,1.1176470588235294,1.0588235294117647,1.0588235294117647,5.0,0.5294117647058824,1.0,28.0
2023,HOU,17,17,49.0,2.8823529411764706,2.4705882352941178,2.823529411764706,14.705882352941176,0.5882352941176471,1.0,2.0
2023,IND,17,17,30.0,1.7647058823529411,0.9411764705882353,1.7058823529411764,10.705882352941176,0.5294117647058824,1.0,18.0
2023,JAX,17,17,34.0,2.0,1.8235294117647058,2.0,7.0588235294117645,0.5294117647058824,1.0,12.0
2023,KC,17,17,27.0,1.588235294117647,1.3529411764705883,1.5294117647058822,6.0588235294117645,0.6470588235294118,1.0,22.0
2023,LA,17,17,11.0,0.6470588235294118,0.6470588235294118,0.6470588235294118,4.352941176470588,0.5882352941176471,1.0,31.0
2023,LAC,17,17,31.0,1.8235294117647058,0.9411764705882353,1.4705882352941178,8.235294117647058,0.29411764705882354,1.0,15.0
2023,LV,17,17,23.0,1.3529411764705883,0.9411764705882353,1.2352941176470589,6.294117647058823,0.47058823529411764,1.0,25.0
2023,MIA,17,17,20.0,1.1764705882352942,1.0,1.1176470588235294,7.529411764705882,0.6470588235294118,1.0,27.0
2023,MIN,17,17,25.0,1.4705882352941178,1.0588235294117647,1.411764705882353,8.647058823529411,0.4117647058823529,1.0,23.0
2023,NE,17,17,32.0,1.8823529411764706,1.1176470588235294,1.411764705882353,12.176470588235293,0.23529411764705882,1.0,13.0
2023,NO,17,17,42.0,2.4705882352941178,2.3529411764705883,2.4705882352941178,7.117647058823529,0.5294117647058824,1.0,5.0
2023,NYG,17,17,31.0,1.8235294117647058,1.6470588235294117,1.8235294117647058,11.294117647058824,0.35294117647058826,1.0,15.0
